stop_id,location,address,name,direction,route_id,seq,stop_name,stop_lon,stop_lat
213,Iveragh Road,Swords Road,33,I,331009,89,"Whitehall, Iveragh Road",-6.244913768139418,53.381531050665
213,Iveragh Road,Swords Road,33,I,331060,88,"Whitehall, Iveragh Road",-6.244913768139418,53.381531050665
213,Iveragh Road,Swords Road,41,I,411001,41,"Whitehall, Iveragh Road",-6.244913768139418,53.381531050665
213,Iveragh Road,Swords Road,41,I,411002,38,"Whitehall, Iveragh Road",-6.244913768139418,53.381531050665
213,Iveragh Road,Swords Road,41,I,411003,33,"Whitehall, Iveragh Road",-6.244913768139418,53.381531050665
213,Iveragh Road,Swords Road,41,I,411004,17,"Whitehall, Iveragh Road",-6.244913768139418,53.381531050665
213,Iveragh Road,Swords Road,41A,I,041A1001,41,"Whitehall, Iveragh Road",-6.244913768139418,53.381531050665
213,Iveragh Road,Swords Road,41B,I,041B1002,34,"Whitehall, Iveragh Road",-6.244913768139418,53.381531050665
213,Iveragh Road,Swords Road,41C,I,041C1001,46,"Whitehall, Iveragh Road",-6.244913768139418,53.381531050665
213,Iveragh Road,Swords Road,41C,I,041C1002,27,"Whitehall, Iveragh Road",-6.244913768139418,53.381531050665
214,Highfield Hospital,Swords Road,33,I,331006,89,"Whitehall, Highfield Hospital",-6.246654551825559,53.379408483572995
214,Highfield Hospital,Swords Road,33,I,331007,90,"Whitehall, Highfield Hospital",-6.246654551825559,53.379408483572995
214,Highfield Hospital,Swords Road,33,I,331008,82,"Whitehall, Highfield Hospital",-6.246654551825559,53.379408483572995
214,Highfield Hospital,Swords Road,33,I,331009,90,"Whitehall, Highfield Hospital",-6.246654551825559,53.379408483572995
214,Highfield Hospital,Swords Road,33,I,331060,89,"Whitehall, Highfield Hospital",-6.246654551825559,53.379408483572995
214,Highfield Hospital,Swords Road,41,I,411001,42,"Whitehall, Highfield Hospital",-6.246654551825559,53.379408483572995
214,Highfield Hospital,Swords Road,41,I,411002,39,"Whitehall, Highfield Hospital",-6.246654551825559,53.379408483572995
214,Highfield Hospital,Swords Road,41,I,411003,34,"Whitehall, Highfield Hospital",-6.246654551825559,53.379408483572995
214,Highfield Hospital,Swords Road,41,I,411004,18,"Whitehall, Highfield Hospital",-6.246654551825559,53.379408483572995
214,Highfield Hospital,Swords Road,41A,I,041A1001,42,"Whitehall, Highfield Hospital",-6.246654551825559,53.379408483572995
214,Highfield Hospital,Swords Road,41B,I,041B1002,35,"Whitehall, Highfield Hospital",-6.246654551825559,53.379408483572995
214,Highfield Hospital,Swords Road,41C,I,041C1001,47,"Whitehall, Highfield Hospital",-6.246654551825559,53.379408483572995
214,Highfield Hospital,Swords Road,41C,I,041C1002,28,"Whitehall, Highfield Hospital",-6.246654551825559,53.379408483572995
4432,Griffith Downs,Swords Road,33,I,331006,90,"Whitehall, Swords Road (Griffith Downs)",-6.24856371884205,53.3772074698869
4432,Griffith Downs,Swords Road,33,I,331007,91,"Whitehall, Swords Road (Griffith Downs)",-6.24856371884205,53.3772074698869
4432,Griffith Downs,Swords Road,33,I,331008,83,"Whitehall, Swords Road (Griffith Downs)",-6.24856371884205,53.3772074698869
